id,name,height,weight,primary_type,hp,attack,defense,special_attack,special_defense,speed
540,sewaddle,3,25,bug,45,53,70,40,60,42
541,swadloon,5,73,bug,55,63,90,50,80,42
542,leavanny,12,205,bug,75,103,80,70,80,92
543,venipede,4,53,bug,30,45,59,30,39,57
544,whirlipede,12,585,bug,40,55,99,40,79,47
545,scolipede,25,2005,bug,60,100,89,55,69,112
546,cottonee,3,6,grass,40,27,60,37,50,66
547,whimsicott,7,66,grass,60,67,85,77,75,116
548,petilil,5,66,grass,45,35,50,70,50,30
549,lilligant,11,163,grass,70,60,75,110,75,90
550,basculin-red-striped,10,180,water,70,92,65,80,55,98
551,sandile,7,152,ground,50,72,35,35,35,65
552,krokorok,10,334,ground,60,82,45,45,45,74
553,krookodile,15,963,ground,95,117,80,65,70,92
554,darumaka,6,375,fire,70,90,45,15,45,50
555,darmanitan-standard,13,929,fire,105,140,55,30,55,95
556,maractus,10,280,grass,75,86,67,106,67,60
557,dwebble,3,145,bug,50,65,85,35,35,55
558,crustle,14,2000,bug,70,105,125,65,75,45
559,scraggy,6,118,dark,50,75,70,35,70,48
560,scrafty,11,300,dark,65,90,115,45,115,58
561,sigilyph,14,140,psychic,72,58,80,103,80,97
562,yamask,5,15,ghost,38,30,85,55,65,30
563,cofagrigus,17,765,ghost,58,50,145,95,105,30
564,tirtouga,7,165,water,54,78,103,53,45,22
565,carracosta,12,810,water,74,108,133,83,65,32
566,archen,5,95,rock,55,112,45,74,45,70
567,archeops,14,320,rock,75,140,65,112,65,110
568,trubbish,6,310,poison,50,50,62,40,62,65
569,garbodor,19,1073,poison,80,95,82,60,82,75
570,zorua,7,125,dark,40,65,40,80,40,65
571,zoroark,16,811,dark,60,105,60,120,60,105
572,minccino,4,58,normal,55,50,40,40,40,75
573,cinccino,5,75,normal,75,95,60,65,60,115
574,gothita,4,58,psychic,45,30,50,55,65,45
575,gothorita,7,180,psychic,60,45,70,75,85,55
576,gothitelle,15,440,psychic,70,55,95,95,110,65
577,solosis,3,10,psychic,45,30,40,105,50,20
578,duosion,6,80,psychic,65,40,50,125,60,30
579,reuniclus,10,201,psychic,110,65,75,125,85,30
580,ducklett,5,55,water,62,44,50,44,50,55
581,swanna,13,242,water,75,87,63,87,63,98
582,vanillite,4,57,ice,36,50,50,65,60,44
583,vanillish,11,410,ice,51,65,65,80,75,59
584,vanilluxe,13,575,ice,71,95,85,110,95,79
585,deerling,6,195,normal,60,60,50,40,50,75
586,sawsbuck,19,925,normal,80,100,70,60,70,95
587,emolga,4,50,electric,55,75,60,75,60,103
588,karrablast,5,59,bug,50,75,45,40,45,60
589,escavalier,10,330,bug,70,135,105,60,105,20
590,foongus,2,10,grass,69,55,45,55,55,15
591,amoonguss,6,105,grass,114,85,70,85,80,30
592,frillish-male,12,330,water,55,40,50,65,85,40
593,jellicent-male,22,1350,water,100,60,70,85,105,60
594,alomomola,12,316,water,165,75,80,40,45,65
595,joltik,1,6,bug,50,47,50,57,50,65
596,galvantula,8,143,bug,70,77,60,97,60,108
597,ferroseed,6,188,grass,44,50,91,24,86,10
598,ferrothorn,10,1100,grass,74,94,131,54,116,20
599,klink,3,210,steel,40,55,70,45,60,30
600,klang,6,510,steel,60,80,95,70,85,50
601,klinklang,6,810,steel,60,100,115,70,85,90
602,tynamo,2,3,electric,35,55,40,45,40,60
603,eelektrik,12,220,electric,65,85,70,75,70,40
604,eelektross,21,805,electric,85,115,80,105,80,50
605,elgyem,5,90,psychic,55,55,55,85,55,30
606,beheeyem,10,345,psychic,75,75,75,125,95,40
607,litwick,3,31,ghost,50,30,55,65,55,20
608,lampent,6,130,ghost,60,40,60,95,60,55
609,chandelure,10,343,ghost,60,55,90,145,90,80
610,axew,6,180,dragon,46,87,60,30,40,57
611,fraxure,10,360,dragon,66,117,70,40,50,67
612,haxorus,18,1055,dragon,76,147,90,60,70,97
613,cubchoo,5,85,ice,55,70,40,60,40,40
614,beartic,26,2600,ice,95,130,80,70,80,50
615,cryogonal,11,1480,ice,80,50,50,95,135,105
616,shelmet,4,77,bug,50,40,85,40,65,25
617,accelgor,8,253,bug,80,70,40,100,60,145
618,stunfisk,7,110,ground,109,66,84,81,99,32
619,mienfoo,9,200,fighting,45,85,50,55,50,65
620,mienshao,14,355,fighting,65,125,60,95,60,105
621,druddigon,16,1390,dragon,77,120,90,60,90,48
622,golett,10,920,ground,59,74,50,35,50,35
623,golurk,28,3300,ground,89,124,80,55,80,55
624,pawniard,5,102,dark,45,85,70,40,40,60
625,bisharp,16,700,dark,65,125,100,60,70,70
626,bouffalant,16,946,normal,95,110,95,40,95,55
627,rufflet,5,105,normal,70,83,50,37,50,60
628,braviary,15,410,normal,100,123,75,57,75,80
629,vullaby,5,90,dark,70,55,75,45,65,60
630,mandibuzz,12,395,dark,110,65,105,55,95,80
631,heatmor,14,580,fire,85,97,66,105,66,65
632,durant,3,330,bug,58,109,112,48,48,109
633,deino,8,173,dark,52,65,50,45,50,38
634,zweilous,14,500,dark,72,85,70,65,70,58
635,hydreigon,18,1600,dark,92,105,90,125,90,98
636,larvesta,11,288,bug,55,85,55,50,55,60
637,volcarona,16,460,bug,85,60,65,135,105,100
638,cobalion,21,2500,steel,91,90,129,90,72,108
639,terrakion,19,2600,rock,91,129,90,72,90,108
640,virizion,20,2000,grass,91,90,72,90,129,108
641,tornadus-incarnate,15,630,flying,79,115,70,125,80,111
642,thundurus-incarnate,15,610,electric,79,115,70,125,80,111
643,reshiram,32,3300,dragon,100,120,100,150,120,90
644,zekrom,29,3450,dragon,100,150,120,120,100,90
645,landorus-incarnate,15,680,ground,89,125,90,115,80,101
646,kyurem,30,3250,dragon,125,130,90,130,90,95
647,keldeo-ordinary,14,485,water,91,72,90,129,90,108
648,meloetta-aria,6,65,normal,100,77,77,128,128,90
649,genesect,15,825,bug,71,120,95,120,95,99
650,chespin,4,90,grass,56,61,65,48,45,38
651,quilladin,7,290,grass,61,78,95,56,58,57
652,chesnaught,16,900,grass,88,107,122,74,75,64
653,fennekin,4,94,fire,40,45,40,62,60,60
654,braixen,10,145,fire,59,59,58,90,70,73
655,delphox,15,390,fire,75,69,72,114,100,104
656,froakie,3,70,water,41,56,40,62,44,71
657,frogadier,6,109,water,54,63,52,83,56,97
658,greninja,15,400,water,72,95,67,103,71,122
659,bunnelby,4,50,normal,38,36,38,32,36,57
660,diggersby,10,424,normal,85,56,77,50,77,78
661,fletchling,3,17,normal,45,50,43,40,38,62
662,fletchinder,7,160,fire,62,73,55,56,52,84
663,talonflame,12,245,fire,78,81,71,74,69,126
664,scatterbug,3,25,bug,38,35,40,27,25,35
665,spewpa,3,84,bug,45,22,60,27,30,29
666,vivillon,12,170,bug,80,52,50,90,50,89
667,litleo,6,135,fire,62,50,58,73,54,72
668,pyroar-male,15,815,fire,86,68,72,109,66,106
669,flabebe,1,1,fairy,44,38,39,61,79,42
670,floette,2,9,fairy,54,45,47,75,98,52
671,florges,11,100,fairy,78,65,68,112,154,75
672,skiddo,9,310,grass,66,65,48,62,57,52
673,gogoat,17,910,grass,123,100,62,97,81,68
674,pancham,6,80,fighting,67,82,62,46,48,43
675,pangoro,21,1360,fighting,95,124,78,69,71,58
676,furfrou,12,280,normal,75,80,60,65,90,102
677,espurr,3,35,psychic,62,48,54,63,60,68
678,meowstic-male,6,85,psychic,74,48,76,83,81,104
679,honedge,8,20,steel,45,80,100,35,37,28
680,doublade,8,45,steel,59,110,150,45,49,35
681,aegislash-shield,17,530,steel,60,50,140,50,140,60
682,spritzee,2,5,fairy,78,52,60,63,65,23
683,aromatisse,8,155,fairy,101,72,72,99,89,29
684,swirlix,4,35,fairy,62,48,66,59,57,49
685,slurpuff,8,50,fairy,82,80,86,85,75,72
686,inkay,4,35,dark,53,54,53,37,46,45
687,malamar,15,470,dark,86,92,88,68,75,73
688,binacle,5,310,rock,42,52,67,39,56,50
689,barbaracle,13,960,rock,72,105,115,54,86,68
690,skrelp,5,73,poison,50,60,60,60,60,30
691,dragalge,18,815,poison,65,75,90,97,123,44
692,clauncher,5,83,water,50,53,62,58,63,44
693,clawitzer,13,353,water,71,73,88,120,89,59
694,helioptile,5,60,electric,44,38,33,61,43,70
695,heliolisk,10,210,electric,62,55,52,109,94,109
696,tyrunt,8,260,rock,58,89,77,45,45,48
697,tyrantrum,25,2700,rock,82,121,119,69,59,71
698,amaura,13,252,rock,77,59,50,67,63,46
699,aurorus,27,2250,rock,123,77,72,99,92,58
700,sylveon,10,235,fairy,95,65,65,110,130,60
701,hawlucha,8,215,fighting,78,92,75,74,63,118
702,dedenne,2,22,electric,67,58,57,81,67,101
703,carbink,3,57,rock,50,50,150,50,150,50
704,goomy,3,28,dragon,45,50,35,55,75,40
705,sliggoo,8,175,dragon,68,75,53,83,113,60
706,goodra,20,1505,dragon,90,100,70,110,150,80
707,klefki,2,30,steel,57,80,91,80,87,75
708,phantump,4,70,ghost,43,70,48,50,60,38
709,trevenant,15,710,ghost,85,110,76,65,82,56
710,pumpkaboo-average,4,50,ghost,49,66,70,44,55,51
711,gourgeist-average,9,125,ghost,65,90,122,58,75,84
712,bergmite,10,995,ice,55,69,85,32,35,28
713,avalugg,20,5050,ice,95,117,184,44,46,28
714,noibat,5,80,flying,40,30,35,45,40,55
715,noivern,15,850,flying,85,70,80,97,80,123
716,xerneas,30,2150,fairy,126,131,95,131,98,99
717,yveltal,58,2030,dark,126,131,95,131,98,99
718,zygarde-50,50,3050,dragon,108,100,121,81,95,95
719,diancie,7,88,rock,50,100,150,100,150,50
720,hoopa,5,90,psychic,80,110,60,150,130,70
721,volcanion,17,1950,fire,80,110,120,130,90,70
722,rowlet,3,15,grass,68,55,55,50,50,42
723,dartrix,7,160,grass,78,75,75,70,70,52
724,decidueye,16,366,grass,78,107,75,100,100,70
725,litten,4,43,fire,45,65,40,60,40,70
726,torracat,7,250,fire,65,85,50,80,50,90
727,incineroar,18,830,fire,95,115,90,80,90,60
728,popplio,4,75,water,50,54,54,66,56,40
729,brionne,6,175,water,60,69,69,91,81,50
730,primarina,18,440,water,80,74,74,126,116,60
731,pikipek,3,12,normal,35,75,30,30,30,65
732,trumbeak,6,148,normal,55,85,50,40,50,75
733,toucannon,11,260,normal,80,120,75,75,75,60
734,yungoos,4,60,normal,48,70,30,30,30,45
735,gumshoos,7,142,normal,88,110,60,55,60,45
736,grubbin,4,44,bug,47,62,45,55,45,46
737,charjabug,5,105,bug,57,82,95,55,75,36
738,vikavolt,15,450,bug,77,70,90,145,75,43
739,crabrawler,6,70,fighting,47,82,57,42,47,63
740,crabominable,17,1800,fighting,97,132,77,62,67,43
741,oricorio-baile,6,34,fire,75,70,70,98,70,93
742,cutiefly,1,2,bug,40,45,40,55,40,84
743,ribombee,2,5,bug,60,55,60,95,70,124
744,rockruff,5,92,rock,45,65,40,30,40,60
745,lycanroc-midday,8,250,rock,75,115,65,55,65,112
746,wishiwashi-solo,2,3,water,45,20,20,25,25,40
747,mareanie,4,80,poison,50,53,62,43,52,45
748,toxapex,7,145,poison,50,63,152,53,142,35
749,mudbray,10,1100,ground,70,100,70,45,55,45
750,mudsdale,25,9200,ground,100,125,100,55,85,35
751,dewpider,3,40,water,38,40,52,40,72,27
752,araquanid,18,820,water,68,70,92,50,132,42
753,fomantis,3,15,grass,40,55,35,50,35,35
754,lurantis,9,185,grass,70,105,90,80,90,45
755,morelull,2,15,grass,40,35,55,65,75,15
756,shiinotic,10,115,grass,60,45,80,90,100,30
757,salandit,6,48,poison,48,44,40,71,40,77
758,salazzle,12,222,poison,68,64,60,111,60,117
759,stufful,5,68,normal,70,75,50,45,50,50
760,bewear,21,1350,normal,120,125,80,55,60,60
761,bounsweet,3,32,grass,42,30,38,30,38,32
762,steenee,7,82,grass,52,40,48,40,48,62
763,tsareena,12,214,grass,72,120,98,50,98,72
764,comfey,1,3,fairy,51,52,90,82,110,100
765,oranguru,15,760,normal,90,60,80,90,110,60
766,passimian,20,828,fighting,100,120,90,40,60,80
767,wimpod,5,120,bug,25,35,40,20,30,80
768,golisopod,20,1080,bug,75,125,140,60,90,40
769,sandygast,5,700,ghost,55,55,80,70,45,15
770,palossand,13,2500,ghost,85,75,110,100,75,35
771,pyukumuku,3,12,water,55,60,130,30,130,5
772,type-null,19,1205,normal,95,95,95,95,95,59
773,silvally,23,1005,normal,95,95,95,95,95,95
774,minior-red-meteor,3,400,rock,60,60,100,60,100,60
775,komala,4,199,normal,65,115,65,75,95,65
776,turtonator,20,2120,fire,60,78,135,91,85,36
777,togedemaru,3,33,electric,65,98,63,40,73,96
778,mimikyu-disguised,2,7,ghost,55,90,80,50,105,96
779,bruxish,9,190,water,68,105,70,70,70,92
780,drampa,30,1850,normal,78,60,85,135,91,36
781,dhelmise,39,2100,ghost,70,131,100,86,90,40
782,jangmo-o,6,297,dragon,45,55,65,45,45,45
783,hakamo-o,12,470,dragon,55,75,90,65,70,65
784,kommo-o,16,782,dragon,75,110,125,100,105,85
785,tapu-koko,18,205,electric,70,115,85,95,75,130
786,tapu-lele,12,186,psychic,70,85,75,130,115,95
787,tapu-bulu,19,455,grass,70,130,115,85,95,75
788,tapu-fini,13,212,water,70,75,115,95,130,85
789,cosmog,2,1,psychic,43,29,31,29,31,37
790,cosmoem,1,9999,psychic,43,29,131,29,131,37
791,solgaleo,34,2300,psychic,137,137,107,113,89,97
792,lunala,40,1200,psychic,137,113,89,137,107,97
793,nihilego,12,555,rock,109,53,47,127,131,103
794,buzzwole,24,3336,bug,107,139,139,53,53,79
795,pheromosa,18,250,bug,71,137,37,137,37,151
796,xurkitree,38,1000,electric,83,89,71,173,71,83
797,celesteela,92,9999,steel,97,101,103,107,101,61
798,kartana,3,1,grass,59,181,131,59,31,109
799,guzzlord,55,8880,dark,223,101,53,97,53,43
800,necrozma,24,2300,psychic,97,107,101,127,89,79
801,magearna,10,805,steel,80,95,115,130,115,65
802,marshadow,7,222,fighting,90,125,80,90,90,125
803,poipole,6,18,poison,67,73,67,73,67,73
804,naganadel,36,1500,poison,73,73,73,127,73,121
805,stakataka,55,8200,rock,61,131,211,53,101,13
806,blacephalon,18,130,fire,53,127,53,151,79,107
807,zeraora,15,445,electric,88,112,75,102,80,143
808,meltan,2,80,steel,46,65,65,55,35,34
809,melmetal,25,8000,steel,135,143,143,80,65,34
810,grookey,3,50,grass,50,65,50,40,40,65
811,thwackey,7,140,grass,70,85,70,55,60,80
812,rillaboom,21,900,grass,100,125,90,60,70,85
813,scorbunny,3,45,fire,50,71,40,40,40,69
814,raboot,6,90,fire,65,86,60,55,60,94
815,cinderace,14,330,fire,80,116,75,65,75,119
816,sobble,3,40,water,50,40,40,70,40,70
817,drizzile,7,115,water,65,60,55,95,55,90
818,inteleon,19,452,water,70,85,65,125,65,120
819,skwovet,3,25,normal,70,55,55,35,35,25
820,greedent,6,60,normal,120,95,95,55,75,20
821,rookidee,2,18,flying,38,47,35,33,35,57
822,corvisquire,8,160,flying,68,67,55,43,55,77
823,corviknight,22,750,flying,98,87,105,53,85,67
824,blipbug,4,80,bug,25,20,20,25,45,45
825,dottler,4,195,bug,50,35,80,50,90,30
826,orbeetle,4,408,bug,60,45,110,80,120,90
827,nickit,6,89,dark,40,28,28,47,52,50
828,thievul,12,199,dark,70,58,58,87,92,90
829,gossifleur,4,22,grass,40,40,60,40,60,10
830,eldegoss,5,25,grass,60,50,90,80,120,60
831,wooloo,6,60,normal,42,40,55,40,45,48
832,dubwool,13,430,normal,72,80,100,60,90,88
833,chewtle,3,85,water,50,64,50,38,38,44
834,drednaw,10,1155,water,90,115,90,48,68,74
835,yamper,3,135,electric,59,45,50,40,50,26
836,boltund,10,340,electric,69,90,60,90,60,121
837,rolycoly,3,120,rock,30,40,50,40,50,30
838,carkol,11,780,rock,80,60,90,60,70,50
839,coalossal,28,3105,rock,110,80,120,80,90,30
840,applin,2,5,grass,40,40,80,40,40,20
841,flapple,3,10,grass,70,110,80,95,60,70
842,appletun,4,130,grass,110,85,80,100,80,30
843,silicobra,22,76,ground,52,57,75,35,50,46
844,sandaconda,38,655,ground,72,107,125,65,70,71
845,cramorant,8,180,flying,70,85,55,85,95,85
846,arrokuda,5,10,water,41,63,40,40,30,66
847,barraskewda,13,300,water,61,123,60,60,50,136
848,toxel,4,110,electric,40,38,35,54,35,40
849,toxtricity-amped,16,400,electric,75,98,70,114,70,75
850,sizzlipede,7,10,fire,50,65,45,50,50,45
851,centiskorch,30,1200,fire,100,115,65,90,90,65
852,clobbopus,6,40,fighting,50,68,60,50,50,32
853,grapploct,16,390,fighting,80,118,90,70,80,42
854,sinistea,1,2,ghost,40,45,45,74,54,50
855,polteageist,2,4,ghost,60,65,65,134,114,70
856,hatenna,4,34,psychic,42,30,45,56,53,39
857,hattrem,6,48,psychic,57,40,65,86,73,49
858,hatterene,21,51,psychic,57,90,95,136,103,29
859,impidimp,4,55,dark,45,45,30,55,40,50
860,morgrem,8,125,dark,65,60,45,75,55,70
861,grimmsnarl,15,610,dark,95,120,65,95,75,60
862,obstagoon,16,460,dark,93,90,101,60,81,95
863,perrserker,8,280,steel,70,110,100,50,60,50
864,cursola,10,4,ghost,60,95,50,145,130,30
865,sirfetchd,8,1170,fighting,62,135,95,68,82,65
866,mr-rime,15,582,ice,80,85,75,110,100,70
867,runerigus,16,666,ground,58,95,145,50,105,30
868,milcery,2,3,fairy,45,40,40,50,61,34
869,alcremie,3,5,fairy,65,60,75,110,121,64
870,falinks,30,620,fighting,65,100,100,70,60,75
871,pincurchin,3,10,electric,48,101,95,91,85,15
872,snom,3,38,ice,30,25,35,45,30,20
873,frosmoth,13,420,ice,70,65,60,125,90,65
874,stonjourner,25,5200,rock,100,125,135,20,20,70
875,eiscue-ice,14,890,ice,75,80,110,65,90,50
876,indeedee-male,9,280,psychic,60,65,55,105,95,95
877,morpeko-full-belly,3,30,electric,58,95,58,70,58,97
878,cufant,12,1000,steel,72,80,49,40,49,40
879,copperajah,30,6500,steel,122,130,69,80,69,30
880,dracozolt,18,1900,electric,90,100,90,80,70,75
881,arctozolt,23,1500,electric,90,100,90,90,80,55
882,dracovish,23,2150,water,90,90,100,70,80,75
883,arctovish,20,1750,water,90,90,100,80,90,55
884,duraludon,18,400,steel,70,95,115,120,50,85
885,dreepy,5,20,dragon,28,60,30,40,30,82
886,drakloak,14,110,dragon,68,80,50,60,50,102
887,dragapult,30,500,dragon,88,120,75,100,75,142
888,zacian,28,1100,fairy,92,120,115,80,115,138
889,zamazenta,29,2100,fighting,92,120,115,80,115,138
890,eternatus,200,9500,poison,140,85,95,145,95,130
891,kubfu,6,120,fighting,60,90,60,53,50,72
892,urshifu-single-strike,19,1050,fighting,100,130,100,63,60,97
893,zarude,18,700,dark,105,120,105,70,95,105
894,regieleki,12,1450,electric,80,100,50,100,50,200
895,regidrago,21,2000,dragon,200,100,50,100,50,80
896,glastrier,22,8000,ice,100,145,130,65,110,30
897,spectrier,20,445,ghost,100,65,60,145,80,130
898,calyrex,11,77,psychic,100,80,80,80,80,80
899,wyrdeer,18,951,normal,103,105,72,105,75,65
900,kleavor,18,890,bug,70,135,95,45,70,85
901,ursaluna,24,2900,ground,130,140,105,45,80,50
902,basculegion-male,30,1100,water,120,112,65,80,75,78
903,sneasler,13,430,fighting,80,130,60,40,80,120
904,overqwil,25,605,dark,85,115,95,65,65,85
905,enamorus-incarnate,16,480,fairy,74,115,70,135,80,106
906,sprigatito,4,41,grass,40,61,54,45,45,65
907,floragato,9,122,grass,61,80,63,60,63,83
908,meowscarada,15,312,grass,76,110,70,81,70,123
909,fuecoco,4,98,fire,67,45,59,63,40,36
910,crocalor,10,307,fire,81,55,78,90,58,49
911,skeledirge,16,3265,fire,104,75,100,110,75,66
912,quaxly,5,61,water,55,65,45,50,45,50
913,quaxwell,12,215,water,70,85,65,65,60,65
914,quaquaval,18,619,water,85,120,80,85,75,85
915,lechonk,5,102,normal,54,45,40,35,45,35
916,oinkologne-male,10,1200,normal,110,100,75,59,80,65
917,tarountula,3,40,bug,35,41,45,29,40,20
918,spidops,10,165,bug,60,79,92,52,86,35
919,nymble,2,10,bug,33,46,40,21,25,45
920,lokix,10,175,bug,71,102,78,52,55,92
921,pawmi,3,25,electric,45,50,20,40,25,60
922,pawmo,4,65,electric,60,75,40,50,40,85
923,pawmot,9,410,electric,70,115,70,70,60,105
924,tandemaus,3,18,normal,50,50,45,40,45,75
925,maushold-family-of-four,3,23,normal,74,75,70,65,75,111
926,fidough,3,109,fairy,37,55,70,30,55,65
927,dachsbun,5,149,fairy,57,80,115,50,80,95
928,smoliv,3,65,grass,41,35,45,58,51,30
929,dolliv,6,119,grass,52,53,60,78,78,33
930,arboliva,14,482,grass,78,69,90,125,109,39
931,squawkabilly-green-plumage,6,24,normal,82,96,51,45,51,92
932,nacli,4,160,rock,55,55,75,35,35,25
933,naclstack,6,1050,rock,60,60,100,35,65,35
934,garganacl,23,2400,rock,100,100,130,45,90,35
935,charcadet,6,105,fire,40,50,40,50,40,35
936,armarouge,15,850,fire,85,60,100,125,80,75
937,ceruledge,16,620,fire,75,125,80,60,100,85
938,tadbulb,3,4,electric,61,31,41,59,35,45
939,bellibolt,12,1130,electric,109,64,91,103,83,45
940,wattrel,4,36,electric,40,40,35,55,40,70
941,kilowattrel,14,386,electric,70,70,60,105,60,125
942,maschiff,5,160,dark,60,78,60,40,51,51
943,mabosstiff,11,610,dark,80,120,90,60,70,85
944,shroodle,2,7,poison,40,65,35,40,35,75
945,grafaiai,7,272,poison,63,95,65,80,72,110
946,bramblin,6,6,grass,40,65,30,45,35,60
947,brambleghast,12,60,grass,55,115,70,80,70,90
948,toedscool,9,330,ground,40,40,35,50,100,70
949,toedscruel,19,580,ground,80,70,65,80,120,100
950,klawf,13,790,rock,70,100,115,35,55,75
951,capsakid,3,30,grass,50,62,40,62,40,50
952,scovillain,9,150,grass,65,108,65,108,65,75
953,rellor,2,10,bug,41,50,60,31,58,30
954,rabsca,3,35,bug,75,50,85,115,100,45
955,flittle,2,15,psychic,30,35,30,55,30,75
956,espathra,19,900,psychic,95,60,60,101,60,105
957,tinkatink,4,89,fairy,50,45,45,35,64,58
958,tinkatuff,7,591,fairy,65,55,55,45,82,78
959,tinkaton,7,1128,fairy,85,75,77,70,105,94
960,wiglett,12,18,water,10,55,25,35,25,95
961,wugtrio,12,54,water,35,100,50,50,70,120
962,bombirdier,15,429,flying,70,103,85,60,85,82
963,finizen,13,602,water,70,45,40,45,40,75
964,palafin-zero,13,602,water,100,70,72,53,62,100
965,varoom,10,350,steel,45,70,63,30,45,47
966,revavroom,18,1200,steel,80,119,90,54,67,90
967,cyclizar,16,630,dragon,70,95,65,85,65,121
968,orthworm,25,3100,steel,70,85,145,60,55,65
969,glimmet,7,80,rock,48,35,42,105,60,60
970,glimmora,15,450,rock,83,55,90,130,81,86
971,greavard,6,350,ghost,50,61,60,30,55,34
972,houndstone,20,150,ghost,72,101,100,50,97,68
973,flamigo,16,370,flying,82,115,74,75,64,90
974,cetoddle,12,450,ice,108,68,45,30,40,43
975,cetitan,45,7000,ice,170,113,65,45,55,73
976,veluza,25,900,water,90,102,73,78,65,70
977,dondozo,120,2200,water,150,100,115,65,65,35
978,tatsugiri-curly,3,80,dragon,68,50,60,120,95,82
979,annihilape,12,560,fighting,110,115,80,50,90,90
980,clodsire,18,2230,poison,130,75,60,45,100,20
981,farigiraf,32,1600,normal,120,90,70,110,70,60
982,dudunsparce-two-segment,36,392,normal,125,100,80,85,75,55
983,kingambit,20,1200,dark,100,135,120,60,85,50
984,great-tusk,22,3200,ground,115,131,131,53,53,87
985,scream-tail,12,80,fairy,115,65,99,65,115,111
986,brute-bonnet,12,210,grass,111,127,99,79,99,55
987,flutter-mane,14,40,ghost,55,55,55,135,135,135
988,slither-wing,32,920,bug,85,135,79,85,105,81
989,sandy-shocks,23,600,electric,85,81,97,121,85,101
990,iron-treads,9,2400,ground,90,112,120,72,70,106
991,iron-bundle,6,110,ice,56,80,114,124,60,136
992,iron-hands,18,3807,fighting,154,140,108,50,68,50
993,iron-jugulis,13,1110,dark,94,80,86,122,80,108
994,iron-moth,12,360,fire,80,70,60,140,110,110
995,iron-thorns,16,3030,rock,100,134,110,70,84,72
996,frigibax,5,170,dragon,65,75,45,35,45,55
997,arctibax,8,300,dragon,90,95,66,45,65,62
998,baxcalibur,21,2100,dragon,115,145,92,75,86,87
999,gimmighoul,3,50,ghost,45,30,70,75,70,10
1000,gholdengo,12,300,steel,87,60,95,133,91,84
1001,wo-chien,15,742,dark,85,85,100,95,135,70
1002,chien-pao,19,1522,dark,80,120,80,90,65,135
1003,ting-lu,27,6997,dark,155,110,125,55,80,45
1004,chi-yu,4,49,dark,55,80,80,135,120,100
1005,roaring-moon,20,3800,dragon,105,139,71,55,101,119
1006,iron-valiant,14,350,fairy,74,130,90,120,60,116
1007,koraidon,25,3030,fighting,100,135,115,85,100,135
1008,miraidon,35,2400,electric,100,85,100,135,115,135
1009,walking-wake,35,2800,water,99,83,91,125,83,109
1010,iron-leaves,15,1250,grass,90,130,88,70,108,104
1011,dipplin,4,97,grass,80,80,110,95,80,40
1012,poltchageist,1,11,grass,40,45,45,74,54,50
1013,sinistcha,2,22,grass,71,60,106,121,80,70
1014,okidogi,18,922,poison,88,128,115,58,86,80
1015,munkidori,10,122,poison,88,75,66,130,90,106
1016,fezandipiti,14,301,poison,88,91,82,70,125,99
1017,ogerpon,12,398,grass,80,120,84,60,96,110
1018,archaludon,20,600,steel,90,105,130,125,65,85
1019,hydrapple,18,930,grass,106,80,110,120,80,44
1020,gouging-fire,35,5900,fire,105,115,121,65,93,91
1021,raging-bolt,52,4800,electric,125,73,91,137,89,75
1022,iron-boulder,15,1625,rock,90,120,80,68,108,124
1023,iron-crown,16,1560,steel,90,72,100,122,108,98
1024,terapagos,2,65,normal,90,65,85,65,85,60
